openness,backness
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
0.2727,0.8889
